"","x"
"199","CDK13"
"200","CDK14"
"201","CDK15"
"202","CDK16"
"203","CDK17"
"204","CDK18"
"205","CDK2"
"206","CDK4"
"207","CDK5"
"208","CDK6"
"209","CDK7"
"210","CDK8"
"211","CDK9"
"212","CDKL1"
"213","CDKL2"
"214","CDKL3"
"215","CDKL5"
"216","CDO1"
"217","CEACAM1"
"218","CENPE"
"219","CES1"
"220","CFB"
"221","CFD"
"222","CFTR"
"223","CHAT"
"224","CHEK1"
"225","CHIT1"
"226","CHRFAM7A"
"227","CHRM1"
"228","CHRM2"
"229","CHRM3"
"230","CHRM4"
"231","CHRM5"
"232","CHRNA10"
"233","CHRNA2"
"234","CHRNA7"
"235","CHRNA9"
"236","CHRNB2"
"237","CIT"
"238","CKM"
"239","CLC"
"240","CLCN2"
"241","CLK1"
"242","CLK4"
"243","CLUL1"
"244","CMA1"
"245","CNR1"
"246","CNR2"
"247","COL1A2"
"248","COMT"
"249","CPB1"
"250","CPB2"
"251","CPT1A"
"252","CPT2"
"253","CRH"
"254","CROT"
"255","CRP"
"256","CRYZ"
"257","CSF1R"
"258","CSF2RA"
"259","CSF2RB"
"260","CSF3R"
"261","CSK"
"262","CSNK1A1"
"263","CSNK1G2"
"264","CSNK2A1"
"265","CSNK2A2"
"266","CTH"
"267","CTLA4"
"268","CTNNB1"
"269","CTRB1"
"270","CTSB"
"271","CTSD"
"272","CTSF"
"273","CTSG"
"274","CTSK"
"275","CTSL"
"276","CTSS"
"277","CXCL10"
"278","CXCL12"
"279","CXCR4"
"280","CYB5A"
"281","CYCS"
"282","CYP11B1"
"283","CYP17A1"
"284","CYP19A1"
"285","CYP1A2"
"286","CYP27B1"
"287","CYP2A6"
"288","CYP2C8"
"289","CYP2C9"
"290","CYP3A4"
"291","CYP3A5"
"292","CYP51A1"
"293","CYSLTR1"
"294","DAPK1"
"295","DAPK2"
"296","DBH"
"297","DCK"
"298","DCPS"
"299","DCXR"
"300","DDC"
"301","DECR1"
"302","DHFR"
"303","DHODH"
"304","DHPS"
"305","DLAT"
"306","DNMT1"
"307","DPEP1"
"308","DPP4"
"309","DPYD"
"310","DRD1"
"311","DRD2"
"312","DRD3"
"313","DRD4"
"314","DRD5"
"315","DSTYK"
"316","DTYMK"
"317","DUT"
"318","DYRK1B"
"319","DYRK2"
"320","DYRK4"
"321","EDN1"
"322","EDNRA"
"323","EDNRB"
"324","EEA1"
"325","EEF2K"
"326","EGFR"
"327","EGLN1"
"328","EGLN3"
"329","EIF2AK1"
"330","EIF2AK2"
"331","EIF4E"
"332","ELN"
"333","ELOVL4"
"334","ENOX2"
"335","ENPP1"
"336","EPHA3"
"337","EPHA4"
"338","EPHA6"
"339","EPHA7"
"340","EPHA8"
"341","EPHB2"
"342","EPHB4"
"343","EPHB6"
"344","EPHX2"
"345","EPOR"
"346","EPRS"
"347","ERBB2"
"348","ERBB3"
"349","ERLIN1"
"350","ESR1"
"351","ESR2"
"352","ESRRG"
"353","F10"
"354","F11"
"355","F13A1"
"356","F2"
"357","F2R"
"358","F3"
"359","F5"
"360","F7"
"361","F9"
"362","FAAH"
"363","FABP6"
"364","FASN"
"365","FBP1"
"366","FCER1A"
"367","FCGR1A"
"368","FCGR2C"
"369","FCGR3A"
"370","FCGR3B"
"371","FDPS"
"372","FDX1"
"373","FGA"
"374","FGB"
"375","FGF1"
"376","FGF2"
"377","FGF4"
"378","FGFR1"
"379","FGFR2"
"380","FGFR3"
"381","FGG"
"382","FGR"
"383","FHIT"
"384","FKBP1A"
"385","FLT1"
"386","FLT3"
"387","FLT4"
"388","FNTA"
"389","FNTB"
"390","FOLH1"
"391","FOLR1"
"392","FOLR3"
"393","FOS"
"394","FPGS"
"395","FRK"
"396","FSHR"
"397","FTCD"
"398","FTL"
"399","FUBP1"
"400","FURIN"
"401","FYN"
"402","G6PD"
"403","GAA"
"404","GABBR2"
"405","GABRA1"
"406","GABRA3"
"407","GABRA6"
"408","GABRB1"
"409","GABRB2"
"410","GABRB3"
"411","GABRR1"
"412","GALE"
"413","GAMT"
"414","GAPDH"
"415","GAPDHS"
"416","GART"
"417","GATM"
"418","GBA"
"419","GCDH"
"420","GCH1"
"421","GCK"
"422","GCSH"
"423","GGCX"
"424","GHR"
"425","GHRHR"
"426","GHSR"
"427","GLA"
"428","GLIPR1"
"429","GLO1"
"430","GLP1R"
"431","GLP2R"
"432","GLRA1"
"433","GLRA3"
"434","GLRB"
"435","GLTP"
"436","GLUD1"
"437","GLUL"
"438","GM2A"
"439","GMDS"
"440","GNLY"
"441","GNPDA1"
"442","GNRHR"
"443","GNRHR2"
"444","GOT1"
"445","GOT2"
"446","GP1BA"
"447","GPHN"
"448","GPI"
"449","GPR119"
"450","GPX3"
"451","GRB2"
"452","GRIA1"
"453","GRIA2"
"454","GRIA3"
"455","GRIA4"
"456","GRIK2"
"457","GRIK3"
"458","GRIN1"
"459","GRIN2A"
"460","GRIN2B"
"461","GRIN3A"
"462","GRIN3B"
"463","GRK3"
"464","GRK4"
"465","GRK7"
"466","GRM1"
"467","GRM3"
"468","GRM5"
"469","GSK3A"
"470","GSK3B"
"471","GSR"
"472","GSS"
"473","GSTA1"
"474","GSTA3"
"475","GSTK1"
"476","GSTM1"
"477","GSTM2"
"478","GSTM4"
"479","GSTP1"
"480","GUCY2C"
"481","GUCY2D"
"482","GUCY2F"
"483","HADH"
"484","HAGH"
"485","HAL"
"486","HBA1"
"487","HBB"
"488","HCK"
"489","HDAC1"
"490","HDAC2"
"491","HDAC4"
"492","HDAC6"
"493","HDAC7"
"494","HDAC8"
"495","HDAC9"
"496","HEXB"
"497","HGF"
"498","HIF1A"
"499","HIF1AN"
"500","HINT1"
"501","HIPK2"
"502","HIPK3"
"503","HLA-A"
"504","HLA-DRB1"
"505","HMGB1"
"506","HMGCL"
"507","HMGCR"
"508","HMOX1"
"509","HMOX2"
"510","HNMT"
"511","HPD"
"512","HPN"
"513","HPRT1"
"514","HRAS"
"515","HRH1"
"516","HRH2"
"517","HRH3"
"518","HRH4"
"519","HS3ST3A1"
"520","HSD11B1"
"521","HSD11B2"
"522","HSD17B1"
"523","HSD17B10"
"524","HSD17B11"
"525","HSD17B4"
"526","HSP90AA1"
"527","HSP90AB1"
"528","HSP90B1"
"529","HSPB1"
"530","HSPG2"
"531","HTR1A"
"532","HTR1B"
"533","HTR1D"
"534","HTR1E"
"535","HTR1F"
"536","HTR2A"
"537","HTR2B"
"538","HTR2C"
"539","HTR3A"
"540","HTR4"
"541","HTR6"
"542","HTR7"
"543","IARS"
"544","ICAM1"
"545","ICK"
"546","IDH1"
"547","IFNAR1"
"548","IFNAR2"
"549","IFNB1"
"550","IFNG"
"551","IFNGR2"
"552","IGF1R"
"553","IKBKB"
"554","IKBKG"
"555","IL10"
"556","IL11RA"
"557","IL12B"
"558","IL13"
"559","IL13RA2"
"560","IL1B"
"561","IL1R1"
"562","IL2"
"563","IL23A"
"564","IL2RG"
"565","IL5"
"566","IL6"
"567","IL6R"
"568","IMPA1"
"569","IMPDH2"
"570","INS"
"571","INSR"
"572","INSRR"
"573","IRAK2"
"574","IRAK3"
"575","IRS1"
"576","ISG20"
"577","ITGA4"
"578","ITGAL"
"579","ITGB2"
"580","ITGB3"
"581","ITGB7"
"582","ITK"
"583","ITPKA"
"584","IVD"
"585","JAK2"
"586","JAK3"
"587","JUN"
"588","KARS"
"589","KCNA1"
"590","KCNE1"
"591","KCNH2"
"592","KCNH7"
"593","KCNJ1"
"594","KCNJ11"
"595","KCNJ12"
"596","KCNJ8"
"597","KCNK2"
"598","KCNMA1"
"599","KCNMB2"
"600","KCNN4"
"601","KCNQ2"
"602","KCNQ3"
"603","KCNQ5"
"604","KDR"
"605","KIF11"
"606","KIF1A"
"607","KIT"
"608","KLK1"
"609","KLKB1"
"610","KYNU"
"611","LARS"
"612","LATS1"
"613","LCK"
"614","LCN2"
"615","LDHB"
"616","LEPR"
"617","LGALS3"
"618","LGALS7"
"619","LHCGR"
"620","LIG3"
"621","LIMK1"
"622","LPA"
"623","LPL"
"624","LRP1"
"625","LSS"
"626","LTA4H"
"627","LTF"
"628","LTK"
"629","MAK"
"630","MAN1B1"
"631","MAN2A1"
"632","MAOA"
"633","MAOB"
"634","MAP2K1"
"635","MAP2K2"
"636","MAP2K3"
"637","MAP2K4"
"638","MAP2K5"
"639","MAP2K6"
"640","MAP2K7"
"641","MAP3K1"
"642","MAP3K10"
"643","MAP3K13"
"644","MAP3K14"
"645","MAP3K4"
"646","MAP3K7"
"647","MAP3K8"
"648","MAP3K9"
"649","MAP4K1"
"650","MAP4K3"
"651","MAP4K4"
"652","MAP4K5"
"653","MAPK1"
"654","MAPK10"
"655","MAPK12"
"656","MAPK13"
"657","MAPK14"
"658","MAPK3"
"659","MAPK6"
"660","MAPK8"
"661","MAPK9"
"662","MAPKAPK2"
"663","MAPKAPK3"
"664","MAPKAPK5"
"665","MAPT"
"666","MARK1"
"667","MARK2"
"668","MARK3"
"669","MARK4"
"670","MAST1"
"671","MAST2"
"672","MAST3"
"673","MAST4"
"674","MASTL"
"675","MAT1A"
"676","MATK"
"677","MC1R"
"678","MC2R"
"679","MCFD2"
"680","MDM2"
"681","ME2"
"682","ME3"
"683","MET"
"684","METAP2"
"685","MGAM"
"686","MGMT"
"687","MIF"
"688","MKNK1"
"689","MKNK2"
"690","MMACHC"
"691","MME"
"692","MMP1"
"693","MMP12"
"694","MMP13"
"695","MMP16"
"696","MMP2"
"697","MMP3"
"698","MMP8"
"699","MMP9"
"700","MOK"
"701","MPL"
"702","MPO"
"703","MS4A1"
"704","MS4A2"
"705","MSTN"
"706","MT-CO2"
"707","MT-CYB"
"708","MT-ND1"
"709","MT-ND5"
"710","MTAP"
"711","MTFMT"
"712","MTHFD1"
"713","MTHFR"
"714","MTNR1B"
"715","MTTP"
"716","MUC16"
"717","MUC2"
"718","MUSK"
"719","MYLK"
"720","MYLK2"
"721","MYO3A"
"722","MYO3B"
"723","NAMPT"
"724","NARS"
"725","NEK1"
"726","NEK11"
"727","NEK2"
"728","NEK3"
"729","NEK4"
"730","NEK6"
"731","NEU2"
"732","NFKB1"
"733","NFKB2"
"734","NID1"
"735","NLK"
"736","NME1"
"737","NMNAT3"
"738","NNMT"
"739","NNT"
"740","NOS1"
"741","NOS3"
"742","NPPB"
"743","NPR1"
"744","NPR2"
"745","NPR3"
"746","NPY"
"747","NPY2R"
"748","NQO1"
"749","NQO2"
"750","NR1H2"
"751","NR1H4"
"752","NR1I2"
"753","NR3C1"
"754","NR3C2"
"755","NR5A1"
"756","NRBP1"
"757","NRP1"
"758","NT5E"
"759","NT5M"
"760","NTSR2"
"761","NUAK1"
"762","NUDT9"
"763","NUMBL"
"764","OAT"
"765","OAZ3"
"766","ODC1"
"767","OPRD1"
"768","OPRK1"
"769","OPRL1"
"770","OPRM1"
"771","ORM1"
"772","OTC"
"773","OXCT1"
"774","OXT"
"775","OXTR"
"776","P2RY12"
"777","P2RY2"
"778","P4HA1"
"779","P4HB"
"780","PADI4"
"781","PAH"
"782","PAK3"
"783","PAK4"
"784","PAK5"
"785","PAK6"
"786","PAM"
"787","PAPSS1"
"788","PARP1"
"789","PASK"
"790","PC"
"791","PCK1"
"792","PCTP"
"793","PDCD1"
"794","PDE10A"
"795","PDE1B"
"796","PDE2A"
"797","PDE3A"
"798","PDE3B"
"799","PDE4A"
"800","PDE4B"
"801","PDE4C"
"802","PDE4D"
"803","PDE5A"
"804","PDE7A"
"805","PDE7B"
"806","PDF"
"807","PDGFD"
"808","PDGFRA"
"809","PDGFRB"
"810","PDK2"
"811","PDK3"
"812","PDK4"
"813","PDPK1"
"814","PDXK"
"815","PFKFB1"
"816","PGF"
"817","PGGT1B"
"818","PGLYRP3"
"819","PGR"
"820","PHOSPHO1"
"821","PIK3CA"
"822","PIK3CB"
"823","PIK3CD"
"824","PIK3CG"
"825","PIK3R3"
"826","PIM1"
"827","PIM2"
"828","PITPNA"
"829","PKLR"
"830","PKMYT1"
"831","PKN1"
"832","PKN2"
"833","PLA2G2A"
"834","PLA2G4A"
"835","PLA2G7"
"836","PLAT"
"837","PLAU"
"838","PLAUR"
"839","PLCL1"
"840","PLG"
"841","PMS2"
"842","PNCK"
"843","PNLIP"
"844","PNMT"
"845","POLA1"
"846","POLA2"
"847","POLB"
"848","POMC"
"849","PON1"
"850","PPARA"
"851","PPARD"
"852","PPARG"
"853","PPBP"
"854","PPCDC"
"855","PPIA"
"856","PPIF"
"857","PPP1CC"
"858","PPP2CA"
"859","PPP3R2"
"860","PRDX2"
"861","PRDX5"
"862","PREP"
"863","PRG2"
"864","PRKAA1"
"865","PRKAB1"
"866","PRKACA"
"867","PRKAR1A"
"868","PRKCA"
"869","PRKCD"
"870","PRKCE"
"871","PRKCG"
"872","PRKCH"
"873","PRKCQ"
"874","PRKCZ"
"875","PRKD2"
"876","PRKD3"
"877","PRKG2"
"878","PRKY"
"879","PRLR"
"880","PROCR"
"881","PROS1"
"882","PRPF4B"
"883","PRSS1"
"884","PRSS3"
"885","PRTN3"
"886","PSAP"
"887","PSENEN"
"888","PSMB1"
"889","PSMB2"
"890","PSMB5"
"891","PTGER1"
"892","PTGER4"
"893","PTGFR"
"894","PTGIR"
"895","PTGIS"
"896","PTGS1"
"897","PTGS2"
"898","PTH"
"899","PTK2"
"900","PTK2B"
"901","PTK6"
"902","PTK7"
"903","PTPN1"
"904","PTPN11"
"905","PTPN4"
"906","PYCR2"
"907","PYGL"
"908","PYGM"
"909","QPCT"
"910","RAD51"
"911","RAF1"
"912","RAMP3"
"913","RAP2A"
"914","RARA"
"915","RARB"
"916","RARG"
"917","RARRES1"
"918","RBP1"
"919","REG1A"
"920","REN"
"921","RET"
"922","RHO"
"923","RIOK1"
"924","RIOK3"
"925","RIPK1"
"926","RIPK2"
"927","RIPK3"
"928","RLBP1"
"929","RNASE1"
"930","RNASE2"
"931","RNASE3"
"932","RNASEL"
"933","ROCK1"
"934","ROCK2"
"935","ROS1"
"936","RPS6KA1"
"937","RPS6KA2"
"938","RPS6KA5"
"939","RPS6KA6"
"940","RPS6KB1"
"941","RPS6KC1"
"942","RPSA"
"943","RRM1"
"944","RRM2"
"945","RXRA"
"946","RXRB"
"947","RXRG"
"948","RYR1"
"949","S100A13"
"950","S100B"
"951","S100P"
"952","SAT1"
"953","SCARB1"
"954","SCN10A"
"955","SCN1A"
"956","SCN2A"
"957","SCN4A"
"958","SCN5A"
"959","SCN8A"
"960","SCN9A"
"961","SCNN1D"
"962","SCTR"
"963","SCYL2"
"964","SCYL3"
"965","SDHA"
"966","SDHC"
"967","SEC14L2"
"968","SELP"
"969","SERPINA1"
"970","SERPINA5"
"971","SERPINC1"
"972","SERPIND1"
"973","SERPINE1"
"974","SERPINF2"
"975","SERPING1"
"976","SGK1"
"977","SGK2"
"978","SGK3"
"979","SHMT1"
"980","SI"
"981","SIGLEC7"
"982","SIRT1"
"983","SIRT5"
"984","SLAMF7"
"985","SLC12A1"
"986","SLC12A3"
"987","SLC12A4"
"988","SLC15A1"
"989","SLC15A2"
"990","SLC18A2"
"991","SLC1A4"
"992","SLC22A11"
"993","SLC25A4"
"994","SLC25A6"
"995","SLC2A2"
"996","SLC3A1"
"997","SLC5A6"
"998","SLC6A1"
"999","SLC6A2"
"1000","SLC6A3"
"1001","SLC6A4"
"1002","SLC7A11"
"1003","SLC9A1"
"1004","SLCO1B1"
"1005","SLCO2B1"
"1006","SLK"
"1007","SMPD1"
"1008","SNAP25"
"1009","SNRPA"
"1010","SOD1"
"1011","SORD"
"1012","SPEG"
"1013","SPR"
"1014","SQLE"
"1015","SRC"
"1016","SRD5A1"
"1017","SRMS"
"1018","SRPK1"
"1019","SRPK2"
"1020","SSTR2"
"1021","SSTR5"
"1022","STK10"
"1023","STK11"
"1024","STK16"
"1025","STK17B"
"1026","STK24"
"1027","STK25"
"1028","STK26"
"1029","STK3"
"1030","STK35"
"1031","STK38"
"1032","STK4"
"1033","STRADB"
"1034","STS"
"1035","STYK1"
"1036","SULT1A1"
"1037","SULT1B1"
"1038","SULT1E1"
"1039","SULT2A1"
"1040","SULT2B1"
"1041","SUOX"
"1042","SYK"
"1043","SYT2"
"1044","SYTL4"
"1045","TAAR1"
"1046","TACR1"
"1047","TACR3"
"1048","TARS2"
"1049","TAS1R2"
"1050","TAT"
"1051","TBXAS1"
"1052","TEC"
"1053","TEK"
"1054","TERT"
"1055","TESK1"
"1056","TESK2"
"1057","TEX14"
"1058","TGFB1"
"1059","TGFBR1"
"1060","TGM3"
"1061","TH"
"1062","THRA"
"1063","THRB"
"1064","TIE1"
"1065","TIMP3"
"1066","TK1"
"1067","TLR2"
"1068","TLR4"
"1069","TLR7"
"1070","TLR8"
"1071","TLR9"
"1072","TMLHE"
"1073","TNF"
"1074","TNFRSF10B"
"1075","TNFRSF1A"
"1076","TNFRSF8"
"1077","TNFSF11"
"1078","TNFSF13B"
"1079","TNK2"
"1080","TNNC1"
"1081","TNNI3"
"1082","TOP1"
"1083","TOP1MT"
"1084","TOP2A"
"1085","TOP2B"
"1086","TP53"
"1087","TPH1"
"1088","TPK1"
"1089","TPO"
"1090","TPSB2"
"1091","TPTEP1"
"1092","TRAPPC3"
"1093","TRDMT1"
"1094","TRIB2"
"1095","TRIB3"
"1096","TRIM13"
"1097","TRIO"
"1098","TRPM6"
"1099","TRPM7"
"1100","TRPV1"
"1101","TSHR"
"1102","TSPO"
"1103","TTBK2"
"1104","TTK"
"1105","TUBA1A"
"1106","TUBA1B"
"1107","TUBA4A"
"1108","TUBB"
"1109","TUBB1"
"1110","TUBB3"
"1111","TUBB6"
"1112","TXK"
"1113","TXNRD1"
"1114","TYK2"
"1115","TYMS"
"1116","TYR"
"1117","TYRO3"
"1118","UCK2"
"1119","UGCG"
"1120","ULK2"
"1121","UPP1"
"1122","UPP2"
"1123","UQCRC1"
"1124","UROD"
"1125","VARS"
"1126","VCAM1"
"1127","VDAC3"
"1128","VDR"
"1129","VKORC1"
"1130","VRK1"
"1131","VRK2"
"1132","VRK3"
"1133","VTN"
"1134","WARS"
"1135","WAS"
"1136","WEE1"
"1137","WNK1"
"1138","WNK4"
"1139","XDH"
"1140","XRCC4"
"1141","YARS"
"1142","ZAP70"
"1143","ZFY"
