cmpd,cmpd_id,target,rank
FORETINIB,cmpd_DF,MAP2K5,13
CEDIRANIB,cmpd_CL,PDGFRB,5
CRENOLANIB,cmpd_OY,PDGFRB,18
DOVITINIB,cmpd_QZ,PDGFRB,22
SUNITINIB,cmpd_OZ,PDGFRB,18
DASATINIB,cmpd_FC,PDGFRB,9
ICOTINIB,cmpd_TN,STK10,3
CEDIRANIB,cmpd_CL,STK10,2
BOSUTINIB,cmpd_EY,STK10,1
BOSUTINIB,cmpd_EY,SLK,3
NERATINIB,cmpd_FI,MAP4K2,2
KW2449,cmpd_LA,MAP4K2,1
PONATINIB,cmpd_RH,MAP4K2,21
BOSUTINIB,cmpd_EY,MAP4K2,20
CRIZOTINIB,cmpd_OG,MAP4K2,8
NERATINIB,cmpd_FI,MAP4K5,5
CRENOLANIB,cmpd_OY,MAP4K5,9
BOSUTINIB,cmpd_EY,MAP4K5,30
DASATINIB,cmpd_FC,MAP4K5,2
FORETINIB,cmpd_DF,MAP4K5,5
CRENOLANIB,cmpd_OY,MAP4K3,10
DOVITINIB,cmpd_QZ,MAP4K3,6
SUNITINIB,cmpd_OZ,MAP4K3,9
BOSUTINIB,cmpd_EY,MAP4K3,23
CRIZOTINIB,cmpd_OG,MET,10
FORETINIB,cmpd_DF,MET,19
MGCD265,cmpd_KV,MET,10
TIVANTINIB,cmpd_DC,MET,1
CRENOLANIB,cmpd_OY,CDK2,17
CRENOLANIB,cmpd_OY,CDK5,11
CRENOLANIB,cmpd_OY,CDK9,1
PONATINIB,cmpd_RH,CDK17,8
REGORAFENIB,cmpd_SH,CDK17,5
CEDIRANIB,cmpd_CL,FGFR1,3
DOVITINIB,cmpd_QZ,FGFR1,15
KW2449,cmpd_LA,STK16,2
SUNITINIB,cmpd_OZ,CSNK1E,4
SUNITINIB,cmpd_OZ,CSNK1D,3
NERATINIB,cmpd_FI,MAP3K4,3
CRIZOTINIB,cmpd_OG,MST1R,9
FORETINIB,cmpd_DF,MST1R,20
FORETINIB,cmpd_DF,PIP4K2C,15
PONATINIB,cmpd_RH,IRAK1,2
AZD5363,cmpd_OC,PRKX.PRKY,1
AZD5363,cmpd_OC,PRKACA,5
AZD5363,cmpd_OC,PRKACB,9
DASATINIB,cmpd_FC,PRKCQ,5
AZD5363,cmpd_OC,CLK4,3
AZD5363,cmpd_OC,PRKG1,8
PONATINIB,cmpd_RH,EPHB3,3
DASATINIB,cmpd_FC,EPHB3,22
DASATINIB,cmpd_FC,NLK,10
PONATINIB,cmpd_RH,CSK,9
BOSUTINIB,cmpd_EY,CSK,11
DASATINIB,cmpd_FC,CSK,26
PONATINIB,cmpd_RH,MYLK,14
DASATINIB,cmpd_FC,MYLK,14
DASATINIB,cmpd_FC,FGR,33
DASATINIB,cmpd_FC,TESK1,16
DASATINIB,cmpd_FC,KIT,17
CRENOLANIB,cmpd_OY,ULK1,2
DOVITINIB,cmpd_QZ,ULK1,9
NERATINIB,cmpd_FI,STK26,1
CRENOLANIB,cmpd_OY,STK26,26
SUNITINIB,cmpd_OZ,CLK2,1
DOVITINIB,cmpd_QZ,MINK1,19
MK2206,cmpd_WX,AKT3,1
MK2206,cmpd_WX,AKT1,3
MK2206,cmpd_WX,AKT2,2
KW2449,cmpd_LA,PAK2,14
BAFETINIB,cmpd_XY,MAPKAPK3,11
BOSUTINIB,cmpd_EY,PKMYT1,2
CRENOLANIB,cmpd_OY,STK24,19
CRENOLANIB,cmpd_OY,CMPK1,28
CRENOLANIB,cmpd_OY,GARS,21
QUIZARTINIB,cmpd_TV,MYH10,1
ICOTINIB,cmpd_TN,CARS,2
DASATINIB,cmpd_FC,EPHA1,28
BOSUTINIB,cmpd_EY,MAP3K2,8
DOVITINIB,cmpd_QZ,LATS1,3
SUNITINIB,cmpd_OZ,LATS1,6
BOSUTINIB,cmpd_EY,IKBKE,5
CRENOLANIB,cmpd_OY,STK4,8
CRENOLANIB,cmpd_OY,STK3,7
CRENOLANIB,cmpd_OY,MARK4,23
DOVITINIB,cmpd_QZ,MARK4,1
KW2449,cmpd_LA,MARK4,11
CRENOLANIB,cmpd_OY,IRAK4,5
DOVITINIB,cmpd_QZ,RPS6KA4,13
SUNITINIB,cmpd_OZ,RPS6KA4,8
CRENOLANIB,cmpd_OY,MARK2,12
CRENOLANIB,cmpd_OY,MARK3,14
DOVITINIB,cmpd_QZ,PRKAG1,4
CRENOLANIB,cmpd_OY,NTRK1,27
FORETINIB,cmpd_DF,NTRK1,28
CRENOLANIB,cmpd_OY,CAMK2D,3
CRENOLANIB,cmpd_OY,CAMK2G,6
SUNITINIB,cmpd_OZ,CAMK2G,2
CRENOLANIB,cmpd_OY,CAMKK2,16
SUNITINIB,cmpd_OZ,PHKG2,7
CRENOLANIB,cmpd_OY,MAP4K4,13
DOVITINIB,cmpd_QZ,MAP4K4,17
KW2449,cmpd_LA,MAP4K4,9
PONATINIB,cmpd_RH,MAP4K4,10
SUNITINIB,cmpd_OZ,MAP4K4,14
KW2449,cmpd_LA,TNIK,7
PONATINIB,cmpd_RH,TNIK,6
SUNITINIB,cmpd_OZ,TNIK,12
DOVITINIB,cmpd_QZ,MAP4K1,18
PONATINIB,cmpd_RH,MAP4K1,1
SUNITINIB,cmpd_OZ,MAP4K1,15
BOSUTINIB,cmpd_EY,MAP4K1,6
DOVITINIB,cmpd_QZ,JAK1,14
SUNITINIB,cmpd_OZ,JAK1,10
DOVITINIB,cmpd_QZ,ULK3,2
CRENOLANIB,cmpd_OY,PKN1,15
DASATINIB,cmpd_FC,PKN1,8
AZD5363,cmpd_OC,ROCK2,7
AZD5363,cmpd_OC,ROCK1,2
CRENOLANIB,cmpd_OY,NQO2,21
IMATINIB,cmpd_PQ,NQO2,4
CRIZOTINIB,cmpd_OG,IRAK3,3
CABOZANTINIB,cmpd_QO,FLT3,9
CRENOLANIB,cmpd_OY,FLT3,24
DOVITINIB,cmpd_QZ,FLT3,24
KW2449,cmpd_LA,FLT3,13
LINIFANIB,cmpd_IV,FLT3,1
PONATINIB,cmpd_RH,FLT3,32
QUIZARTINIB,cmpd_TV,FLT3,3
SUNITINIB,cmpd_OZ,FLT3,19
REGORAFENIB,cmpd_SH,FLT3,9
FORETINIB,cmpd_DF,FLT3,24
MGCD265,cmpd_KV,FLT3,9
VANDETANIB,cmpd_WB,RET,2
CABOZANTINIB,cmpd_QO,RET,8
CEDIRANIB,cmpd_CL,RET,4
CRENOLANIB,cmpd_OY,RET,4
DOVITINIB,cmpd_QZ,RET,23
KW2449,cmpd_LA,RET,5
PONATINIB,cmpd_RH,RET,27
QUIZARTINIB,cmpd_TV,RET,2
SORAFENIB,cmpd_GZ,RET,2
SUNITINIB,cmpd_OZ,RET,17
DASATINIB,cmpd_FC,RET,2
REGORAFENIB,cmpd_SH,RET,15
FORETINIB,cmpd_DF,RET,32
CABOZANTINIB,cmpd_QO,DDR1,7
CEDIRANIB,cmpd_CL,DDR1,5
PONATINIB,cmpd_RH,DDR1,30
BAFETINIB,cmpd_XY,DDR1,13
DASATINIB,cmpd_FC,DDR1,19
IMATINIB,cmpd_PQ,DDR1,5
NILOTINIB,cmpd_CB,DDR1,8
REGORAFENIB,cmpd_SH,DDR1,13
FORETINIB,cmpd_DF,DDR1,21
MGCD265,cmpd_KV,DDR1,4
CABOZANTINIB,cmpd_QO,DDR2,5
CEDIRANIB,cmpd_CL,DDR2,1
PONATINIB,cmpd_RH,DDR2,16
BAFETINIB,cmpd_XY,DDR2,9
DASATINIB,cmpd_FC,DDR2,15
IMATINIB,cmpd_PQ,DDR2,1
NILOTINIB,cmpd_CB,DDR2,5
REGORAFENIB,cmpd_SH,DDR2,11
FORETINIB,cmpd_DF,DDR2,11
CABOZANTINIB,cmpd_QO,ABL2,1
PONATINIB,cmpd_RH,ABL2,29
BAFETINIB,cmpd_XY,ABL2,14
BOSUTINIB,cmpd_EY,ABL2,28
DASATINIB,cmpd_FC,ABL2,38
IMATINIB,cmpd_PQ,ABL2,3
NILOTINIB,cmpd_CB,ABL2,7
CRIZOTINIB,cmpd_OG,ABL2,7
FORETINIB,cmpd_DF,ABL2,25
MGCD265,cmpd_KV,ABL2,6
AEE788,cmpd_YM,BCR,2
VANDETANIB,cmpd_WB,BCR,1
CABOZANTINIB,cmpd_QO,BCR,6
PONATINIB,cmpd_RH,BCR,20
BAFETINIB,cmpd_XY,BCR,12
BOSUTINIB,cmpd_EY,BCR,31
DASATINIB,cmpd_FC,BCR,33
IMATINIB,cmpd_PQ,BCR,6
NILOTINIB,cmpd_CB,BCR,3
REGORAFENIB,cmpd_SH,BCR,4
FORETINIB,cmpd_DF,BCR,16
MGCD265,cmpd_KV,BCR,3
PONATINIB,cmpd_RH,ABL1,23
BAFETINIB,cmpd_XY,ABL1,10
BOSUTINIB,cmpd_EY,ABL1,29
DASATINIB,cmpd_FC,ABL1,33
IMATINIB,cmpd_PQ,ABL1,2
NILOTINIB,cmpd_CB,ABL1,6
REGORAFENIB,cmpd_SH,ABL1,3
CRIZOTINIB,cmpd_OG,ABL1,2
FORETINIB,cmpd_DF,ABL1,18
MGCD265,cmpd_KV,ABL1,8
DACOMITINIB,cmpd_FA,RIPK2,1
GEFITINIB,cmpd_HV,RIPK2,2
VANDETANIB,cmpd_WB,RIPK2,3
VARLITINIB,cmpd_ZZ,RIPK2,1
CABOZANTINIB,cmpd_QO,RIPK2,2
PONATINIB,cmpd_RH,RIPK2,18
DASATINIB,cmpd_FC,RIPK2,27
REGORAFENIB,cmpd_SH,RIPK2,2
FORETINIB,cmpd_DF,RIPK2,25
AFATINIB,cmpd_QJ,MAPKAPK2,1
PONATINIB,cmpd_RH,MAPKAPK2,5
BAFETINIB,cmpd_XY,MAPKAPK2,4
DASATINIB,cmpd_FC,MAPKAPK2,7
REGORAFENIB,cmpd_SH,MAPKAPK2,7
PONATINIB,cmpd_RH,MAPK14,13
BAFETINIB,cmpd_XY,MAPK14,1
DASATINIB,cmpd_FC,MAPK14,4
NILOTINIB,cmpd_CB,MAPK14,1
REGORAFENIB,cmpd_SH,MAPK14,6
PONATINIB,cmpd_RH,ZAK,21
SORAFENIB,cmpd_GZ,ZAK,1
BAFETINIB,cmpd_XY,ZAK,8
DASATINIB,cmpd_FC,ZAK,11
REGORAFENIB,cmpd_SH,ZAK,14
FORETINIB,cmpd_DF,ZAK,27
VARLITINIB,cmpd_ZZ,RIPK3,3
BAFETINIB,cmpd_XY,RIPK3,2
REGORAFENIB,cmpd_SH,RIPK3,12
FORETINIB,cmpd_DF,RIPK3,12
VARLITINIB,cmpd_ZZ,YES1,2
DOVITINIB,cmpd_QZ,YES1,11
PONATINIB,cmpd_RH,YES1,12
SUNITINIB,cmpd_OZ,YES1,5
BOSUTINIB,cmpd_EY,YES1,13
DASATINIB,cmpd_FC,YES1,38
DOVITINIB,cmpd_QZ,LCK,10
PONATINIB,cmpd_RH,LCK,28
BAFETINIB,cmpd_XY,LCK,5
BOSUTINIB,cmpd_EY,LCK,25
DASATINIB,cmpd_FC,LCK,30
FORETINIB,cmpd_DF,LCK,29
MGCD265,cmpd_KV,LCK,11
DOVITINIB,cmpd_QZ,SRC,12
PONATINIB,cmpd_RH,SRC,7
BOSUTINIB,cmpd_EY,SRC,14
DASATINIB,cmpd_FC,SRC,44
FORETINIB,cmpd_DF,SRC,30
MGCD265,cmpd_KV,SRC,5
DOVITINIB,cmpd_QZ,FYN,8
PONATINIB,cmpd_RH,FYN,23
BOSUTINIB,cmpd_EY,FYN,12
DASATINIB,cmpd_FC,FYN,38
PONATINIB,cmpd_RH,HCK,19
BOSUTINIB,cmpd_EY,HCK,16
DASATINIB,cmpd_FC,HCK,22
FORETINIB,cmpd_DF,HCK,21
MGCD265,cmpd_KV,HCK,7
DOVITINIB,cmpd_QZ,LYN,7
PONATINIB,cmpd_RH,LYN,25
BAFETINIB,cmpd_XY,LYN,6
BOSUTINIB,cmpd_EY,LYN,21
DASATINIB,cmpd_FC,LYN,29
FORETINIB,cmpd_DF,LYN,14
MGCD265,cmpd_KV,LYN,2
CABOZANTINIB,cmpd_QO,FRK,4
PONATINIB,cmpd_RH,FRK,15
BAFETINIB,cmpd_XY,FRK,3
BOSUTINIB,cmpd_EY,FRK,26
DASATINIB,cmpd_FC,FRK,33
NILOTINIB,cmpd_CB,FRK,4
FORETINIB,cmpd_DF,FRK,30
CABOZANTINIB,cmpd_QO,EPHA2,3
PONATINIB,cmpd_RH,EPHA2,25
BAFETINIB,cmpd_XY,EPHA2,7
BOSUTINIB,cmpd_EY,EPHA2,17
DASATINIB,cmpd_FC,EPHA2,32
NILOTINIB,cmpd_CB,EPHA2,2
REGORAFENIB,cmpd_SH,EPHA2,1
FORETINIB,cmpd_DF,EPHA2,23
PONATINIB,cmpd_RH,EPHA5,31
DASATINIB,cmpd_FC,EPHA5,38
FORETINIB,cmpd_DF,EPHA5,10
BOSUTINIB,cmpd_EY,EPHB2,9
DASATINIB,cmpd_FC,EPHB2,38
BOSUTINIB,cmpd_EY,EPHB4,19
DASATINIB,cmpd_FC,EPHB4,38
FORETINIB,cmpd_DF,EPHB4,2
BOSUTINIB,cmpd_EY,EPHA4,22
DASATINIB,cmpd_FC,EPHA4,30
FORETINIB,cmpd_DF,EPHA4,1
OSIMERTINIB,cmpd_AN,BTK,1
BOSUTINIB,cmpd_EY,BTK,27
DASATINIB,cmpd_FC,BTK,33
FORETINIB,cmpd_DF,BTK,7
OSIMERTINIB,cmpd_AN,TEC,2
DASATINIB,cmpd_FC,TEC,19
PONATINIB,cmpd_RH,MAP3K1,4
BOSUTINIB,cmpd_EY,MAP3K1,18
REGORAFENIB,cmpd_SH,MAP3K1,10
AEE788,cmpd_YM,LIMK1,1
REGORAFENIB,cmpd_SH,LIMK1,8
AZD5363,cmpd_OC,LIMK1,6
DASATINIB,cmpd_FC,LIMK2,1
AZD5363,cmpd_OC,LIMK2,4
DASATINIB,cmpd_FC,PTK6,18
FORETINIB,cmpd_DF,PTK6,6
MGCD265,cmpd_KV,PTK6,1
DASATINIB,cmpd_FC,EPHB6,21
CRIZOTINIB,cmpd_OG,EPHB6,5
FORETINIB,cmpd_DF,EPHB6,4
