target,hgnc_id
BMPR1B,HGNC:1077
BMPR2,HGNC:1078
BMX,HGNC:1079
BRAF,HGNC:1097
BST1,HGNC:1118
BTK,HGNC:1133
BUB1,HGNC:1148
C1QC,HGNC:1245
C1S,HGNC:1247
C5,HGNC:1331
CA1,HGNC:1368
CA12,HGNC:1371
CA2,HGNC:1373
CA4,HGNC:1375
CA9,HGNC:1383
CACNA1A,HGNC:1388
CACNA1B,HGNC:1389
CACNA1C,HGNC:1390
CACNA1D,HGNC:1391
CACNA1G,HGNC:1394
CACNA1H,HGNC:1395
CACNA1I,HGNC:1396
CACNA1S,HGNC:1397
CACNA2D2,HGNC:1400
CACNB4,HGNC:1404
CACNG1,HGNC:1405
CAD,HGNC:1424
CALCA,HGNC:1437
CALCB,HGNC:1438
CALCR,HGNC:1440
CALM1,HGNC:1442
CAMK1,HGNC:1459
CAMK1G,HGNC:14585
CAMK2A,HGNC:1460
CAMK2B,HGNC:1461
CAMK2D,HGNC:1462
CAMK2G,HGNC:1463
CAMK4,HGNC:1464
CAMKK1,HGNC:1469
CAMKK2,HGNC:1470
CANT1,HGNC:19721
CAPN1,HGNC:1476
CARS,HGNC:1493
CASP1,HGNC:1499
CASP3,HGNC:1504
CASP7,HGNC:1508
CASR,HGNC:1514
CAT,HGNC:1516
CBR1,HGNC:1548
CCKAR,HGNC:1570
CCKBR,HGNC:1571
CCL11,HGNC:10610
CCL2,HGNC:10618
CCL3,HGNC:10627
CCL5,HGNC:10632
CCR2,HGNC:1603
CCR5,HGNC:1606
CCR9,HGNC:1610
CD163,HGNC:1631
CD22,HGNC:1643
CD274,HGNC:17635
CD3D,HGNC:1673
CD55,HGNC:2665
CD80,HGNC:1700
CD86,HGNC:1705
CD9,HGNC:1709
CDA,HGNC:1712
CDC25B,HGNC:1726
CDC42BPA,HGNC:1737
CDC42BPB,HGNC:1738
CDC42BPG,HGNC:29829
CDC7,HGNC:1745
CDH5,HGNC:1764
CDIPT,HGNC:1769
CDK1,HGNC:1722
CDK12,HGNC:24224
CDK13,HGNC:1733
CDK14,HGNC:8883
CDK15,HGNC:14434
CDK16,HGNC:8749
CDK17,HGNC:8750
CDK18,HGNC:8751
CDK2,HGNC:1771
CDK3,HGNC:1772
CDK4,HGNC:1773
CDK5,HGNC:1774
CDK6,HGNC:1777
CDK7,HGNC:1778
CDK8,HGNC:1779
CDK9,HGNC:1780
CDKL1,HGNC:1781
CDKL2,HGNC:1782
CDKL3,HGNC:15483
CDKL5,HGNC:11411
CDO1,HGNC:1795
CEACAM1,HGNC:1814
CENPE,HGNC:1856
CES1,HGNC:1863
CFB,HGNC:1037
CFD,HGNC:2771
CFTR,HGNC:1884
CHAT,HGNC:1912
CHEK1,HGNC:1925
CHIT1,HGNC:1936
CHRFAM7A,HGNC:15781
CHRM1,HGNC:1950
CHRM2,HGNC:1951
CHRM3,HGNC:1952
CHRM4,HGNC:1953
CHRM5,HGNC:1954
CHRNA10,HGNC:13800
CHRNA2,HGNC:1956
CHRNA7,HGNC:1960
CHRNA9,HGNC:14079
CHRNB2,HGNC:1962
CIT,HGNC:1985
CKM,HGNC:1994
CLC,HGNC:2014
CLCN2,HGNC:2020
CLK1,HGNC:2068
CLK2,HGNC:2069
CLK3,HGNC:2071
CLK4,HGNC:13659
CLUL1,HGNC:2096
CMA1,HGNC:2097
CMPK1,HGNC:18170
CNR1,HGNC:2159
CNR2,HGNC:2160
COL1A2,HGNC:2198
COMT,HGNC:2228
CPB1,HGNC:2299
CPB2,HGNC:2300
CPT1A,HGNC:2328
CPT2,HGNC:2330
CRH,HGNC:2355
CROT,HGNC:2366
CRP,HGNC:2367
CRYZ,HGNC:2419
CSF1R,HGNC:2433
CSF2RA,HGNC:2435
CSF2RB,HGNC:2436
CSF3R,HGNC:2439
CSK,HGNC:2444
CSNK1A1,HGNC:2451
CSNK1D,HGNC:2452
CSNK1E,HGNC:2453
CSNK1G1,HGNC:2454
CSNK1G2,HGNC:2455
CSNK1G3,HGNC:2456
CSNK2A1,HGNC:2457
CSNK2A2,HGNC:2459
CTH,HGNC:2501
CTLA4,HGNC:2505
CTNNB1,HGNC:2514
CTRB1,HGNC:2521
CTSB,HGNC:2527
CTSD,HGNC:2529
CTSF,HGNC:2531
CTSG,HGNC:2532
CTSK,HGNC:2536
CTSL,HGNC:2537
CTSS,HGNC:2545
CXCL10,HGNC:10637
CXCL12,HGNC:10672
CXCR4,HGNC:2561
CYB5A,HGNC:2570
CYCS,HGNC:19986
CYP11B1,HGNC:2591
CYP17A1,HGNC:2593
CYP19A1,HGNC:2594
CYP1A2,HGNC:2596
CYP27B1,HGNC:2606
CYP2A6,HGNC:2610
CYP2C8,HGNC:2622
CYP2C9,HGNC:2623
CYP3A4,HGNC:2637
CYP3A5,HGNC:2638
CYP51A1,HGNC:2649
CYSLTR1,HGNC:17451
DAPK1,HGNC:2674
DAPK2,HGNC:2675
DBH,HGNC:2689
DCK,HGNC:2704
DCPS,HGNC:29812
DCTPP1,HGNC:28777
DCXR,HGNC:18985
DDC,HGNC:2719
DDR1,HGNC:2730
DDR2,HGNC:2731
DECR1,HGNC:2753
DHCR24,HGNC:2859
DHFR,HGNC:2861
DHODH,HGNC:2867
DHPS,HGNC:2869
DLAT,HGNC:2896
DNAJA1,HGNC:5229
DNMT1,HGNC:2976
DPEP1,HGNC:3002
DPP4,HGNC:3009
DPYD,HGNC:3012
DRD1,HGNC:3020
DRD2,HGNC:3023
DRD3,HGNC:3024
DRD4,HGNC:3025
DRD5,HGNC:3026
DSTYK,HGNC:29043
DTYMK,HGNC:3061
DUT,HGNC:3078
DYRK1A,HGNC:3091
DYRK1B,HGNC:3092
DYRK2,HGNC:3093
DYRK4,HGNC:3095
EDN1,HGNC:3176
EDNRA,HGNC:3179
EDNRB,HGNC:3180
EEA1,HGNC:3185
EEF2K,HGNC:24615
EGFR,HGNC:3236
EGLN1,HGNC:1232
EGLN3,HGNC:14661
EIF2AK1,HGNC:24921
EIF2AK2,HGNC:9437
EIF4E,HGNC:3287
ELN,HGNC:3327
ELOVL4,HGNC:14415
ENOX2,HGNC:2259
ENPP1,HGNC:3356
EPHA1,HGNC:3385
EPHA2,HGNC:3386
EPHA3,HGNC:3387
EPHA4,HGNC:3388
EPHA5,HGNC:3389
EPHA6,HGNC:19296
EPHA7,HGNC:3390
EPHA8,HGNC:3391
EPHB2,HGNC:3393
EPHB3,HGNC:3394
EPHB4,HGNC:3395
EPHB6,HGNC:3396
EPHX2,HGNC:3402
EPOR,HGNC:3416
EPRS,HGNC:3418
ERBB2,HGNC:3430
ERBB3,HGNC:3431
ERCC2,HGNC:3434
ERLIN1,HGNC:16947
ERN1,HGNC:3449
ERN2,HGNC:16942
ESR1,HGNC:3467
ESR2,HGNC:3468
ESRRG,HGNC:3474
F10,HGNC:3528
F11,HGNC:3529
F13A1,HGNC:3531
F2,HGNC:3535
F2R,HGNC:3537
F3,HGNC:3541
F5,HGNC:3542
F7,HGNC:3544
F9,HGNC:3551
FAAH,HGNC:3553
FABP6,HGNC:3561
FASN,HGNC:3594
FBP1,HGNC:3606
FCER1A,HGNC:3609
FCGR1A,HGNC:3613
FCGR2C,HGNC:15626
FCGR3A,HGNC:3619
FCGR3B,HGNC:3620
FDPS,HGNC:3631
FDX1,HGNC:3638
FECH,HGNC:3647
FER,HGNC:3655
FES,HGNC:3657
FGA,HGNC:3661
FGB,HGNC:3662
FGF1,HGNC:3665
FGF2,HGNC:3676
FGF4,HGNC:3682
FGFR1,HGNC:3688
FGFR2,HGNC:3689
FGFR3,HGNC:3690
FGG,HGNC:3694
FGR,HGNC:3697
FHIT,HGNC:3701
FKBP1A,HGNC:3711
FLT1,HGNC:3763
FLT3,HGNC:3765
FLT4,HGNC:3767
FNTA,HGNC:3782
FNTB,HGNC:3785
FOLH1,HGNC:3788
FOLR1,HGNC:3791
FOLR3,HGNC:3795
FOS,HGNC:3796
FPGS,HGNC:3824
FRK,HGNC:3955
FSHR,HGNC:3969
FTCD,HGNC:3974
FTL,HGNC:3999
FUBP1,HGNC:4004
FURIN,HGNC:8568
FYN,HGNC:4037
G6PD,HGNC:4057
GAA,HGNC:4065
GABBR2,HGNC:4507
GABRA1,HGNC:4075
GABRA3,HGNC:4077
GABRA6,HGNC:4080
GABRB1,HGNC:4081
GABRB2,HGNC:4082
GABRB3,HGNC:4083
GABRR1,HGNC:4090
GAK,HGNC:4113
GALE,HGNC:4116
GAMT,HGNC:4136
GAPDH,HGNC:4141
GAPDHS,HGNC:24864
GARS,HGNC:4162
GART,HGNC:4163
GATM,HGNC:4175
GBA,HGNC:4177
GCDH,HGNC:4189
GCH1,HGNC:4193
GCK,HGNC:4195
GCSH,HGNC:4208
GGCX,HGNC:4247
GHR,HGNC:4263
GHRHR,HGNC:4266
GHSR,HGNC:4267
GLA,HGNC:4296
GLIPR1,HGNC:17001
GLO1,HGNC:4323
GLP1R,HGNC:4324
GLP2R,HGNC:4325
GLRA1,HGNC:4326
GLRA3,HGNC:4328
GLRB,HGNC:4329
GLTP,HGNC:24867
GLUD1,HGNC:4335
GLUL,HGNC:4341
GM2A,HGNC:4367
GMDS,HGNC:4369
GNLY,HGNC:4414
GNPDA1,HGNC:4417
GNRHR,HGNC:4421
GNRHR2,HGNC:16341
GOT1,HGNC:4432
GOT2,HGNC:4433
GP1BA,HGNC:4439
GPHN,HGNC:15465
GPI,HGNC:4458
GPR119,HGNC:19060
GPX3,HGNC:4555
GRB2,HGNC:4566
GRIA1,HGNC:4571
GRIA2,HGNC:4572
GRIA3,HGNC:4573
GRIA4,HGNC:4574
GRIK2,HGNC:4580
GRIK3,HGNC:4581
GRIN1,HGNC:4584
GRIN2A,HGNC:4585
GRIN2B,HGNC:4586
GRIN3A,HGNC:16767
GRIN3B,HGNC:16768
GRK3,HGNC:290
GRK4,HGNC:4543
GRK7,HGNC:17031
GRM1,HGNC:4593
GRM3,HGNC:4595
GRM5,HGNC:4597
GSK3A,HGNC:4616
GSK3B,HGNC:4617
GSR,HGNC:4623
GSS,HGNC:4624
GSTA1,HGNC:4626
GSTA3,HGNC:4628
GSTK1,HGNC:16906
GSTM1,HGNC:4632
GSTM2,HGNC:4634
GSTM4,HGNC:4636
GSTP1,HGNC:4638
GUCY2C,HGNC:4688
GUCY2D,HGNC:4689
GUCY2F,HGNC:4691
HADH,HGNC:4799
HAGH,HGNC:4805
HAL,HGNC:4806
HBA1,HGNC:4823
HBB,HGNC:4827
HCK,HGNC:4840
HDAC1,HGNC:4852
HDAC2,HGNC:4853
HDAC4,HGNC:14063
HDAC6,HGNC:14064
HDAC7,HGNC:14067
HDAC8,HGNC:13315
HDAC9,HGNC:14065
HEXB,HGNC:4879
HGF,HGNC:4893
HIF1A,HGNC:4910
HIF1AN,HGNC:17113
HINT1,HGNC:4912
HIPK2,HGNC:14402
HIPK3,HGNC:4915
HLA-A,HGNC:4931
HLA-DRB1,HGNC:4948
HMGB1,HGNC:4983
HMGCL,HGNC:5005
HMGCR,HGNC:5006
HMOX1,HGNC:5013
HMOX2,HGNC:5014
HNMT,HGNC:5028
HPD,HGNC:5147
HPN,HGNC:5155
HPRT1,HGNC:5157
HRAS,HGNC:5173
HRH1,HGNC:5182
HRH2,HGNC:5183
HRH3,HGNC:5184
HRH4,HGNC:17383
HS3ST3A1,HGNC:5196
HSD11B1,HGNC:5208
HSD11B2,HGNC:5209
HSD17B1,HGNC:5210
HSD17B10,HGNC:4800
HSD17B11,HGNC:22960
HSD17B4,HGNC:5213
HSP90AA1,HGNC:5253
HSP90AB1,HGNC:5258
HSP90AB2P,HGNC:32537
HSP90B1,HGNC:12028
HSPB1,HGNC:5246
HSPG2,HGNC:5273
HTR1A,HGNC:5286
HTR1B,HGNC:5287
HTR1D,HGNC:5289
HTR1E,HGNC:5291
HTR1F,HGNC:5292
HTR2A,HGNC:5293
HTR2B,HGNC:5294
HTR2C,HGNC:5295
HTR3A,HGNC:5297
HTR4,HGNC:5299
HTR6,HGNC:5301
HTR7,HGNC:5302
IARS,HGNC:5330
ICAM1,HGNC:5344
ICK,HGNC:21219
IDH1,HGNC:5382
IFNAR1,HGNC:5432
IFNAR2,HGNC:5433
IFNB1,HGNC:5434
IFNG,HGNC:5438
IFNGR2,HGNC:5440
IGF1R,HGNC:5465
IKBKB,HGNC:5960
IKBKE,HGNC:14552
IKBKG,HGNC:5961
IL10,HGNC:5962
IL11RA,HGNC:5967
IL12B,HGNC:5970
IL13,HGNC:5973
IL13RA2,HGNC:5975
IL1B,HGNC:5992
IL1R1,HGNC:5993
IL2,HGNC:6001
IL23A,HGNC:15488
IL2RG,HGNC:6010
IL5,HGNC:6016
IL6,HGNC:6018
IL6R,HGNC:6019
IMPA1,HGNC:6050
IMPDH2,HGNC:6053
INS,HGNC:6081
INSR,HGNC:6091
INSRR,HGNC:6093
IPO7,HGNC:9852
IRAK1,HGNC:6112
IRAK2,HGNC:6113
IRAK3,HGNC:17020
IRAK4,HGNC:17967
IRS1,HGNC:6125
ISG20,HGNC:6130
ITGA4,HGNC:6140
ITGAL,HGNC:6148
ITGB2,HGNC:6155
ITGB3,HGNC:6156
ITGB7,HGNC:6162
ITK,HGNC:6171
ITPKA,HGNC:6178
IVD,HGNC:6186
JAK1,HGNC:6190
JAK2,HGNC:6192
JAK3,HGNC:6193
JUN,HGNC:6204
KARS,HGNC:6215
KCNA1,HGNC:6218
KCNE1,HGNC:6240
KCNH2,HGNC:6251
KCNH7,HGNC:18863
KCNJ1,HGNC:6255
KCNJ11,HGNC:6257
KCNJ12,HGNC:6258
KCNJ8,HGNC:6269
KCNK2,HGNC:6277
KCNMA1,HGNC:6284
KCNMB2,HGNC:6286
KCNN4,HGNC:6293
KCNQ2,HGNC:6296
KCNQ3,HGNC:6297
KCNQ5,HGNC:6299
KDR,HGNC:6307
KIF11,HGNC:6388
KIF1A,HGNC:888
KIT,HGNC:6342
KLK1,HGNC:6357
KLKB1,HGNC:6371
KYNU,HGNC:6469
LARS,HGNC:6512
LATS1,HGNC:6514
LCK,HGNC:6524
LCN2,HGNC:6526
LDHB,HGNC:6541
LEPR,HGNC:6554
LGALS3,HGNC:6563
LGALS7,HGNC:6568
LHCGR,HGNC:6585
LIG3,HGNC:6600
LIMK1,HGNC:6613
LIMK2,HGNC:6614
LPA,HGNC:6667
LPL,HGNC:6677
LRP1,HGNC:6692
LSS,HGNC:6708
LTA4H,HGNC:6710
LTF,HGNC:6720
LTK,HGNC:6721
LYN,HGNC:6735
MAK,HGNC:6816
MAN1B1,HGNC:6823
MAN2A1,HGNC:6824
MAOA,HGNC:6833
MAOB,HGNC:6834
MAP2K1,HGNC:6840
MAP2K2,HGNC:6842
MAP2K3,HGNC:6843
MAP2K4,HGNC:6844
MAP2K5,HGNC:6845
MAP2K6,HGNC:6846
MAP2K7,HGNC:6847
MAP3K1,HGNC:6848
MAP3K10,HGNC:6849
MAP3K11,HGNC:6850
MAP3K13,HGNC:6852
MAP3K14,HGNC:6853
MAP3K2,HGNC:6854
MAP3K3,HGNC:6855
MAP3K4,HGNC:6856
MAP3K5,HGNC:6857
MAP3K6,HGNC:6858
MAP3K7,HGNC:6859
MAP3K8,HGNC:6860
MAP3K9,HGNC:6861
MAP4K1,HGNC:6863
MAP4K2,HGNC:6864
MAP4K3,HGNC:6865
MAP4K4,HGNC:6866
MAP4K5,HGNC:6867
MAPK1,HGNC:6871
MAPK10,HGNC:6872
MAPK11,HGNC:6873
MAPK12,HGNC:6874
MAPK13,HGNC:6875
MAPK14,HGNC:6876
MAPK15,HGNC:24667
MAPK3,HGNC:6877
MAPK6,HGNC:6879
MAPK7,HGNC:6880
MAPK8,HGNC:6881
MAPK9,HGNC:6886
MAPKAPK2,HGNC:6887
MAPKAPK3,HGNC:6888
MAPKAPK5,HGNC:6889
MAPT,HGNC:6893
MARK1,HGNC:6896
MARK2,HGNC:3332
MARK3,HGNC:6897
MARK4,HGNC:13538
MAST1,HGNC:19034
MAST2,HGNC:19035
MAST3,HGNC:19036
MAST4,HGNC:19037
MASTL,HGNC:19042
MAT1A,HGNC:6903
MAT2A,HGNC:6904
MATK,HGNC:6906
MC1R,HGNC:6929
MC2R,HGNC:6930
MCFD2,HGNC:18451
MDM2,HGNC:6973
ME2,HGNC:6984
ME3,HGNC:6985
MELK,HGNC:16870
MET,HGNC:7029
METAP2,HGNC:16672
MGAM,HGNC:7043
MGMT,HGNC:7059
MIF,HGNC:7097
MINK1,HGNC:17565
MKNK1,HGNC:7110
MKNK2,HGNC:7111
MMACHC,HGNC:24525
MME,HGNC:7154
MMP1,HGNC:7155
MMP12,HGNC:7158
MMP13,HGNC:7159
MMP16,HGNC:7162
MMP2,HGNC:7166
MMP3,HGNC:7173
MMP8,HGNC:7175
MMP9,HGNC:7176
MOK,HGNC:9833
MPL,HGNC:7217
MPO,HGNC:7218
MS4A1,HGNC:7315
MS4A2,HGNC:7316
MST1R,HGNC:7381
MSTN,HGNC:4223
MT-CO2,HGNC:7421
MT-CYB,HGNC:7427
MT-ND1,HGNC:7455
MT-ND5,HGNC:7461
MTAP,HGNC:7413
MTFMT,HGNC:29666
MTHFD1,HGNC:7432
MTHFR,HGNC:7436
MTNR1B,HGNC:7464
MTTP,HGNC:7467
MUC16,HGNC:15582
MUC2,HGNC:7512
MUSK,HGNC:7525
MYH10,HGNC:7568
MYLK,HGNC:7590
MYLK2,HGNC:16243
MYLK3,HGNC:29826
MYO3A,HGNC:7601
MYO3B,HGNC:15576
NAMPT,HGNC:30092
NARS,HGNC:7643
NEK1,HGNC:7744
NEK11,HGNC:18593
NEK2,HGNC:7745
NEK3,HGNC:7746
NEK4,HGNC:11399
NEK6,HGNC:7749
NEK7,HGNC:13386
NEK9,HGNC:18591
NEU2,HGNC:7759
NFKB1,HGNC:7794
NFKB2,HGNC:7795
NID1,HGNC:7821
NLK,HGNC:29858
NME1,HGNC:7849
NME2,HGNC:7850
NMNAT3,HGNC:20989
NNMT,HGNC:7861
NNT,HGNC:7863
NOS1,HGNC:7872
NOS3,HGNC:7876
NPPB,HGNC:7940
NPR1,HGNC:7943
NPR2,HGNC:7944
NPR3,HGNC:7945
NPY,HGNC:7955
NPY2R,HGNC:7957
NQO1,HGNC:2874
NQO2,HGNC:7856
NR1H2,HGNC:7965
NR1H4,HGNC:7967
NR1I2,HGNC:7968
NR3C1,HGNC:7978
NR3C2,HGNC:7979
NR5A1,HGNC:7983
NRBP1,HGNC:7993
NRP1,HGNC:8004
NT5E,HGNC:8021
NT5M,HGNC:15769
NTRK1,HGNC:8031
NTSR2,HGNC:8040
NUAK1,HGNC:14311
NUAK2,HGNC:29558
NUDT9,HGNC:8056
NUMBL,HGNC:8061
OAT,HGNC:8091
OAZ3,HGNC:8097
ODC1,HGNC:8109
OPRD1,HGNC:8153
OPRK1,HGNC:8154
OPRL1,HGNC:8155
OPRM1,HGNC:8156
ORM1,HGNC:8498
OTC,HGNC:8512
OXCT1,HGNC:8527
OXT,HGNC:8528
OXTR,HGNC:8529
P2RY12,HGNC:18124
P2RY2,HGNC:8541
P4HA1,HGNC:8546
P4HB,HGNC:8548
PADI4,HGNC:18368
PAH,HGNC:8582
PAK2,HGNC:8591
PAK3,HGNC:8592
PAK4,HGNC:16059
PAK5,HGNC:15916
PAK6,HGNC:16061
PAM,HGNC:8596
PAPSS1,HGNC:8603
PARP1,HGNC:270
PASK,HGNC:17270
PC,HGNC:8636
PCK1,HGNC:8724
PCTP,HGNC:8752
PDCD1,HGNC:8760
PDE10A,HGNC:8772
PDE1B,HGNC:8775
PDE2A,HGNC:8777
PDE3A,HGNC:8778
PDE3B,HGNC:8779
PDE4A,HGNC:8780
PDE4B,HGNC:8781
PDE4C,HGNC:8782
PDE4D,HGNC:8783
PDE5A,HGNC:8784
PDE7A,HGNC:8791
PDE7B,HGNC:8792
PDF,HGNC:30012
PDGFD,HGNC:30620
PDGFRA,HGNC:8803
PDGFRB,HGNC:8804
PDK2,HGNC:8810
PDK3,HGNC:8811
PDK4,HGNC:8812
PDPK1,HGNC:8816
PDXK,HGNC:8819
PFKFB1,HGNC:8872
PFKP,HGNC:8878
PGF,HGNC:8893
PGGT1B,HGNC:8895
PGLYRP3,HGNC:30014
PGR,HGNC:8910
PHKG2,HGNC:8931
PHOSPHO1,HGNC:16815
PIK3CA,HGNC:8975
PIK3CB,HGNC:8976
PIK3CD,HGNC:8977
PIK3CG,HGNC:8978
PIK3R3,HGNC:8981
PIM1,HGNC:8986
PIM2,HGNC:8987
PIP4K2A,HGNC:8997
PIP4K2B,HGNC:8998
PIP4K2C,HGNC:23786
PITPNA,HGNC:9001
PKLR,HGNC:9020
PKMYT1,HGNC:29650
PKN1,HGNC:9405
PKN2,HGNC:9406
PLA2G2A,HGNC:9031
PLA2G4A,HGNC:9035
PLA2G7,HGNC:9040
PLAT,HGNC:9051
PLAU,HGNC:9052
PLAUR,HGNC:9053
PLCL1,HGNC:9063
PLG,HGNC:9071
PLK1,HGNC:9077
PLK4,HGNC:11397
PMS2,HGNC:9122
PNCK,HGNC:13415
PNLIP,HGNC:9155
PNMT,HGNC:9160
POLA1,HGNC:9173
POLA2,HGNC:30073
POLB,HGNC:9174
POMC,HGNC:9201
PON1,HGNC:9204
PPARA,HGNC:9232
PPARD,HGNC:9235
PPARG,HGNC:9236
PPBP,HGNC:9240
PPCDC,HGNC:28107
PPIA,HGNC:9253
PPIF,HGNC:9259
PPP1CC,HGNC:9283
PPP2CA,HGNC:9299
PPP3R2,HGNC:9318
PRDX2,HGNC:9353
PRDX5,HGNC:9355
PREP,HGNC:9358
PRG2,HGNC:9362
PRKAA1,HGNC:9376
PRKAB1,HGNC:9378
PRKACA,HGNC:9380
PRKACB,HGNC:9381
PRKACG,HGNC:9382
PRKAG1,HGNC:9385
PRKAG2,HGNC:9386
PRKAR1A,HGNC:9388
PRKAR2A,HGNC:9391
PRKCA,HGNC:9393
PRKCB,HGNC:9395
PRKCD,HGNC:9399
PRKCE,HGNC:9401
PRKCG,HGNC:9402
PRKCH,HGNC:9403
PRKCI,HGNC:9404
PRKCQ,HGNC:9410
PRKCZ,HGNC:9412
PRKD2,HGNC:17293
PRKD3,HGNC:9408
PRKG1,HGNC:9414
PRKG2,HGNC:9416
PRKX,HGNC:9441
PRKY,HGNC:9444
PRLR,HGNC:9446
PROCR,HGNC:9452
PROS1,HGNC:9456
PRPF4B,HGNC:17346
PRSS1,HGNC:9475
PRSS3,HGNC:9486
PRTN3,HGNC:9495
PSAP,HGNC:9498
PSENEN,HGNC:30100
PSMB1,HGNC:9537
PSMB2,HGNC:9539
PSMB5,HGNC:9542
PTGER1,HGNC:9593
PTGER4,HGNC:9596
PTGFR,HGNC:9600
PTGIR,HGNC:9602
PTGIS,HGNC:9603
PTGS1,HGNC:9604
PTGS2,HGNC:9605
PTH,HGNC:9606
PTK2,HGNC:9611
PTK2B,HGNC:9612
PTK6,HGNC:9617
PTK7,HGNC:9618
PTPN1,HGNC:9642
PTPN11,HGNC:9644
PTPN4,HGNC:9656
PYCR2,HGNC:30262
PYGL,HGNC:9725
PYGM,HGNC:9726
Q6ZSR9,NA
QPCT,HGNC:9753
RAD51,HGNC:9817
RAF1,HGNC:9829
RAMP3,HGNC:9845
RAP2A,HGNC:9861
RARA,HGNC:9864
RARB,HGNC:9865
RARG,HGNC:9866
RARRES1,HGNC:9867
RBP1,HGNC:9919
REG1A,HGNC:9951
REN,HGNC:9958
RET,HGNC:9967
RHO,HGNC:10012
RIOK1,HGNC:18656
RIOK3,HGNC:11451
RIPK1,HGNC:10019
RIPK2,HGNC:10020
RIPK3,HGNC:10021
RLBP1,HGNC:10024
RNASE1,HGNC:10044
RNASE2,HGNC:10045
RNASE3,HGNC:10046
RNASEL,HGNC:10050
ROCK1,HGNC:10251
ROCK2,HGNC:10252
ROS1,HGNC:10261
RPS6KA1,HGNC:10430
RPS6KA2,HGNC:10431
RPS6KA3,HGNC:10432
RPS6KA4,HGNC:10433
RPS6KA5,HGNC:10434
